Cau_hinh,INITIAL_TRAIN,RETRAIN_EVERY,THRESHOLD,RANDOM_STATE,So_fold,n_OOS_day_du,full_Accuracy,full_AUC,full_F1,full_Precision,full_Recall,full_LogLoss,full_Brier,full_Baseline,full_Vuot_baseline,n_cua_so_chung,chung_Accuracy,chung_AUC,chung_F1,chung_Precision,chung_Recall,chung_LogLoss,chung_Brier,chung_Baseline,chung_Vuot_baseline,chung_Tong_LN,chung_CAGR,chung_Sharpe,chung_MaxDD,chung_Calmar,chung_So_lenh,chung_Turnover_nam,chung_Ty_le_co_vi_the,Nhom
C_THRESHOLD=0.5,1825,365,0.5,42,,,,,,,,,,,,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,C_THRESHOLD
C_THRESHOLD=0.55,1825,365,0.55,42,,,,,,,,,,,,1776,0.8355855855855856,0.9352016484025216,0.8763759525825572,0.9539170506912442,0.8104933437744715,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.11655405405405406,1.1210623560180508,0.16711221660001652,4.197738485279735,-0.034244956987990016,4.879907329380619,144,29.594594594594593,0.6109234234234234,C_THRESHOLD
C_THRESHOLD=0.6,1825,365,0.6,42,,,,,,,,,,,,1776,0.8226351351351351,0.9352016484025216,0.8635773061931572,0.9660852713178295,0.7807361002349256,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.10360360360360354,0.9322552942756428,0.144962888750219,4.560214316797802,-0.04785762098549273,3.0290450249117518,96,19.729729729729726,0.581081081081081,C_THRESHOLD
C_THRESHOLD=0.65,1825,365,0.65,42,,,,,,,,,,,,1776,0.8198198198198198,0.9352016484025216,0.8590308370044053,0.9818731117824774,0.7635082223962412,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.10078828828828823,0.9777278790174035,0.15044949925632212,5.205059070069305,-0.026724598168685665,5.629626245703859,64,13.153153153153152,0.5591216216216216,C_THRESHOLD
C_THRESHOLD=0.7,1825,365,0.7,42,,,,,,,,,,,,1776,0.8147522522522522,0.9352016484025216,0.8539724811362628,0.985655737704918,0.7533281127642913,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.09572072072072069,0.9370535743854105,0.14554664886573976,5.19653495059281,-0.028506838953996194,5.105674785640745,52,10.686936936936936,0.5495495495495496,C_THRESHOLD
D_RANDOM_STATE=0,1825,365,0.5,0,6.0,2141.0,0.8397944885567492,0.929124863864945,0.8864614366103939,0.93115438108484,0.8458622867972204,0.28830253067283595,0.09636163650172536,0.7393741242410089,0.10042036431574031,1776,0.8417792792792793,0.9347606724804347,0.8837401737691353,0.9368421052631579,0.836335160532498,0.2893931856776161,0.09594216621166607,0.7190315315315315,0.12274774774774777,1.237293938429402,0.17997929615051889,3.950001400102017,-0.04102395465892328,4.3871756793532555,186,38.22635135135135,0.6418918918918919,D_RANDOM_STATE
D_RANDOM_STATE=1,1825,365,0.5,1,6.0,2141.0,0.8332554880896778,0.928674287965548,0.8813559322033898,0.9298737727910238,0.8376500315855969,0.28642896470496276,0.09654953116810837,0.7393741242410089,0.09388136384866885,1776,0.8367117117117117,0.93469319217919,0.8794679966749792,0.937112488928255,0.8285043069694596,0.28609613356595487,0.09582065723746801,0.7190315315315315,0.11768018018018012,1.171769699782181,0.17279281967385707,3.8641048155782527,-0.037052735311901674,4.663429520636616,164,33.70495495495495,0.6356981981981982,D_RANDOM_STATE
D_RANDOM_STATE=7,1825,365,0.5,7,6.0,2141.0,0.832788416627744,0.927610113730791,0.8816920026437541,0.9244629244629244,0.8427037271004422,0.2879260971881568,0.0965960443601537,0.7393741242410089,0.09341429238673515,1776,0.8350225225225225,0.9326860455444955,0.8784736623807549,0.9338624338624338,0.8292873923257635,0.2901945465900658,0.09669648920946376,0.7190315315315315,0.11599099099099097,1.0144126702422822,0.15480321813435505,3.441743198227099,-0.03976664678782271,3.8927903315639547,172,35.3490990990991,0.6385135135135135,D_RANDOM_STATE
D_RANDOM_STATE=42,1825,365,0.5,42,6.0,2141.0,0.8388603456328818,0.9298528043255286,0.8861761794787198,0.9274861878453039,0.848389134554643,0.29058043651719373,0.09623594238252033,0.7393741242410089,0.09948622139187291,1776,0.8417792792792793,0.9352016484025216,0.8838362959900785,0.936077057793345,0.8371182458888019,0.2931218351609673,0.09627954521261833,0.7190315315315315,0.12274774774774777,1.1882248480963291,0.17461359357488782,3.9445330482032843,-0.03881125132115837,4.4990457053286335,180,36.99324324324324,0.6430180180180181,D_RANDOM_STATE
D_RANDOM_STATE=123,1825,365,0.5,123,6.0,2141.0,0.8369920597851471,0.9281954095599073,0.8839374792151646,0.9332865168539326,0.8395451674036639,0.28967673033029423,0.09694494248713566,0.7393741242410089,0.09761793554413822,1776,0.8406531531531531,0.9341282408199327,0.8825238688252387,0.9390459363957597,0.8324197337509789,0.2904134068441886,0.09654654946227362,0.7190315315315315,0.1216216216216216,1.1617169553218654,0.1716750762621091,3.870570758293478,-0.04006291495554537,4.2851369265717,166,34.11599099099099,0.6373873873873874,D_RANDOM_STATE
